valtyp,lÌ_nsnr,lÌ_n,kommunnr,kommun,valkretsnr,valkrets,parti,tilltrÌ_desdatum,invalsordning,personvald,fÌ¦rnamn,efternamn,Ì´lder,kÌ¦n,lista,listplats,kandidatnr
R,,,,,4,SÌ¦dermanlands lÌ_n,S,,2,,Caroline,Helmersson Olsson,51,K,Feb-23,2,450686
R,,,,,4,SÌ¦dermanlands lÌ_n,S,,3,,Fredrik,Olovsson,41,M,Feb-23,3,450687
R,,,,,4,SÌ¦dermanlands lÌ_n,S,,4,,Sara,Karlsson,29,K,Feb-23,4,312643
R,,,,,4,SÌ¦dermanlands lÌ_n,V,,1,,Lotta,Johnsson Fornarve,58,K,May-08,1,397753
R,,,,,4,SÌ¦dermanlands lÌ_n,MP,,1,personvald,Marco,Venegas,51,M,0055-07333,2,446012
R,,,,,4,SÌ¦dermanlands lÌ_n,SD,,1,,Oscar,SjÌ¦stedt,33,M,0110-08275,16,475399
R,,,,,4,SÌ¦dermanlands lÌ_n,SD,,2,,Olle,Felten,60,M,0110-08275,45,467123
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,M,,1,,Andreas,NorlÌ©n,41,M,Jan-19,1,414342
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,M,,2,,Finn,Bengtsson,58,M,Jan-19,2,478512
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,M,,3,,Betty,Malmberg,56,K,Jan-19,3,7436
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,C,,1,personvald,Lena,Ek,56,K,Apr-13,1,148570
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,FP,,1,personvald,Mathias,Sundin,36,M,Mar-23,1,427688
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,KD,,1,personvald,Magnus,Oscarsson,44,M,0068-08234,1,291915
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,S,,1,,Johan,Andersson,52,M,Feb-48,1,326281
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,S,,2,,Teresa,Carvalho,30,K,Feb-48,2,352925
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,S,,3,,Johan,LÌ¦fstrand,38,M,Feb-48,3,367393
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,S,,4,,Anna-Lena,SÌ¦renson,60,K,Feb-48,4,367394
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,S,,5,,Mattias,Ottosson,43,M,Feb-48,5,367395
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,V,,1,personvald,Linda,Snecker,31,K,May-73,1,192899
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,MP,,1,,Annika,Lillemets,52,K,0055-07273,1,345362
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,SD,9/30/14,1,,Cassandra,Sundin,23,K,0110-08275,52,390609
R,,,,,5,ÌĞstergÌ¦tlands lÌ_n,SD,,2,,Runar,Filper,50,M,0110-08275,33,479484
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,M,,1,personvald,Mats,Green,35,M,Jan-91,1,379488
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,M,,2,personvald,Helena,Bouveng,52,K,Jan-91,2,510671
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,M,,3,,Sotiris,Delis,59,M,Jan-91,3,379496
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,C,,1,personvald,Annie,LÌ¦Ì¦f,31,K,Apr-25,1,376923
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,FP,,1,personvald,Emma,Carlsson LÌ¦fdahl,43,K,Mar-81,1,45006
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,KD,,1,personvald,Andreas,Carlson,27,M,0068-08579,3,503542
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,S,,1,personvald,Peter,Persson,59,M,Feb-92,1,449818
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,S,,2,,Helene,Petersson,58,K,Feb-92,2,290702
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,S,,3,,Thomas,Strand,60,M,Feb-92,3,290687
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,S,,4,,Johanna,Haraldsson,34,K,Feb-92,4,395750
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,MP,,1,personvald,Emma,Hult,26,K,0055-08739,4,373608
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,SD,,1,personvald,Jimmie,ÌÉkesson,35,M,0110-08275,1,421252
R,,,,,6,JÌ¦nkÌ¦pings lÌ_n,SD,,2,,Dennis,Dioukarev,21,M,0110-08275,34,313758
R,,,,,7,Kronobergs lÌ_n,M,,1,personvald,Johan,Hultberg,29,M,Jan-78,1,468630
R,,,,,7,Kronobergs lÌ_n,M,,2,,Katarina,BrÌ_nnstrÌ¦m,64,K,Jan-78,2,481220
R,,,,,7,Kronobergs lÌ_n,C,,1,personvald,Eskil,Erlandsson,57,M,Apr-21,1,309513
R,,,,,7,Kronobergs lÌ_n,S,,1,personvald,Tomas,Eneroth,47,M,Feb-18,1,225452
R,,,,,7,Kronobergs lÌ_n,S,,2,,Monica,Haider,51,K,Feb-18,2,225453
R,,,,,7,Kronobergs lÌ_n,SD,,1,,Per,Ramhorn,46,M,0110-08275,9,479460
R,,,,,8,Kalmar lÌ_n,M,,1,,JÌ¦rgen,Andersson,48,M,Jan-12,1,125937
R,,,,,8,Kalmar lÌ_n,M,,2,,Jan R,Andersson,43,M,Jan-12,2,125383
R,,,,,8,Kalmar lÌ_n,C,,1,personvald,Anders,ÌÉkesson,55,M,Apr-96,1,465328
R,,,,,8,Kalmar lÌ_n,S,,1,personvald,HÌ´kan,Juholt,51,M,Feb-96,1,326512
R,,,,,8,Kalmar lÌ_n,S,,2,personvald,Lena,Hallengren,40,K,Feb-96,2,326513
R,,,,,8,Kalmar lÌ_n,S,,3,,Krister,ÌĞrnfjÌ_der,61,M,Feb-96,3,326514
R,,,,,8,Kalmar lÌ_n,SD,,1,,Paula,Bieler,26,K,0110-08275,6,479457
R,,,,,8,Kalmar lÌ_n,SD,,2,,Christina,Thuring,46,K,0110-08275,43,479494
R,,,,,9,Gotlands lÌ_n,M,,1,personvald,Gustaf,Hoffstedt,40,M,Jan-14,1,354253
R,,,,,9,Gotlands lÌ_n,S,,1,personvald,Christer,Engelhardt,44,M,Feb-97,1,229818
R,,,,,10,Blekinge lÌ_n,M,,1,personvald,Annicka,Engblom,47,K,Jan-32,1,425349
R,,,,,10,Blekinge lÌ_n,S,,1,personvald,Magnus,Manhammar,33,M,Feb-96,5,300022
R,,,,,10,Blekinge lÌ_n,S,,2,,Peter,Jeppsson,46,M,Feb-96,1,300018
R,,,,,10,Blekinge lÌ_n,S,,3,,Suzanne,Svensson,56,K,Feb-96,2,300019
R,,,,,10,Blekinge lÌ_n,SD,,1,,Richard,Jomshof,45,M,0110-08275,7,361900
R,,,,,11,MalmÌ¦ kommun,M,,1,,Tobias,BillstrÌ¦m,40,M,Jan-50,1,274291
R,,,,,11,MalmÌ¦ kommun,M,,2,,Patrick,Reslow,44,M,Jan-50,2,274292
R,,,,,11,MalmÌ¦ kommun,M,,3,,Olof,Lavesson,38,M,Jan-50,3,274293
R,,,,,11,MalmÌ¦ kommun,FP,,1,personvald,Allan,Widman,50,M,Mar-21,1,350727
R,,,,,11,MalmÌ¦ kommun,S,,1,,Marie,Granlund,52,K,Feb-39,1,358211
R,,,,,11,MalmÌ¦ kommun,S,,2,,Leif,Jakobsson,59,M,Feb-39,2,358212
R,,,,,11,MalmÌ¦ kommun,S,,3,,Hillevi,Larsson,40,K,Feb-39,3,358213
R,,,,,11,MalmÌ¦ kommun,V,,1,personvald,Daniel,Sestrajcic,38,M,May-27,1,451865
R,,,,,11,MalmÌ¦ kommun,MP,,1,,Rasmus,Ling,30,M,0055-07787,1,451716
